PROJECT;SEQUENCE;STEP;PIN0;PIN1;PIN3;PIN4;PIN5;PIN6;PIN8;PIN10;PIN11;PIN16;PIN17;PIN18;PIN20;PIN21;PIN22;PIN24;PIN25;PIN26;T0;T1;T3;T4;T5;T6;T8;T10;T11;T16;T17;T18;T20;T21;T22;T24;T25;T26;TMAX;TTOTAL;INFO1
Robusta;27;4;-14,5;-32,84;-27,60;0,00;-81,75;-62,70;14,50;-32,84;-27,60;-14,50;-32,84;-27,60;0,00;-81,75;-62,70;14,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan3
Robusta;28;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan5
Robusta;28;2;-18,5;-32,84;-27,60;0,00;-81,75;-62,70;18,50;-32,84;-27,60;-18,50;-32,84;-27,60;0,00;-81,75;-62,70;18,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan5
Robusta;28;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan5
Robusta;28;4;-12,5;-32,84;-27,60;0,00;-81,75;-62,70;12,50;-32,84;-27,60;-12,50;-32,84;-27,60;0,00;-81,75;-62,70;12,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan5
Robusta;29;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan7
Robusta;29;2;-24,5;-32,84;-27,60;0,00;-81,75;-62,70;24,50;-32,84;-27,60;-24,50;-32,84;-27,60;0,00;-81,75;-62,70;24,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan7
Robusta;29;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan7
Robusta;29;4;-10,5;-32,84;-27,60;0,00;-81,75;-62,70;10,50;-32,84;-27,60;-10,50;-32,84;-27,60;0,00;-81,75;-62,70;10,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan7
Robusta;30;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan10
Robusta;30;2;-17,50268105;-32,84;-27,60;0,00;-81,75;-62,70;27,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;27,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan10
Robusta;30;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan10
Robusta;30;4;-6,417069;-32,84;-27,60;0,00;-81,75;-62,70;6,42;-32,84;-27,60;-6,42;-32,84;-27,60;0,00;-81,75;-62,70;6,42;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan10
Robusta;31;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan15
Robusta;31;2;-32,5;-32,84;-27,60;0,00;-81,75;-62,70;32,50;-32,84;-27,60;-32,50;-32,84;-27,60;0,00;-81,75;-62,70;32,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan15
Robusta;31;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan15
Robusta;31;4;-1,417069;-32,84;-27,60;0,00;-81,75;-62,70;1,42;-32,84;-27,60;-1,42;-32,84;-27,60;0,00;-81,75;-62,70;1,42;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan15
Robusta;32;1;-17,5;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;-17,50;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan30
Robusta;32;2;-47,5;-32,84;-27,60;0,00;-81,75;-62,70;47,50;-32,84;-27,60;-47,50;-32,84;-27,60;0,00;-81,75;-62,70;47,50;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan30
Robusta;32;3;-17,5;-55,80;-41,30;0,00;-81,75;-62,70;17,50;-32,84;-27,60;-17,50;-32,84;-27,60;0,00;-81,75;-62,70;17,50;-55,80;-41,30;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan30
Robusta;32;4;13,582931;-32,84;-27,60;0,00;-81,75;-62,70;-13,58;-32,84;-27,60;13,58;-32,84;-27,60;0,00;-81,75;-62,70;-13,58;-32,84;-27,60;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;PutarKanan30
